"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"log10(Hg) + Sex",4,153.18469468838,0,1,0.354493644392214,-71.7923473441899,0.354493644392214
"log10(Hg)",3,153.291068070828,0.106373382448169,0.948202974783077,0.336131928154392,-73.1839955738755,0.690625572546605
"log10(Hg) + Age + Sex",5,154.812102348805,1.62740766042475,0.44321343507445,0.157116345843134,-71.1560511744023,0.847741918389739
"log10(Hg) + Age",4,155.202084881052,2.01739019267245,0.364694560478532,0.129281903834052,-72.8010424405261,0.97702382222379
"Age + Sex",4,160.830989503646,7.64629481526634,0.0218588936628054,0.00774883887690975,-75.6154947518231,0.9847726611007
"Age",3,160.985109568511,7.80041488013083,0.0202377128978585,0.00717414059932518,-77.0310163227168,0.991946801700025
"Null",2,161.86555874239,8.68086405400976,0.0130308972876454,0.00461937026919803,-78.7105571489725,0.996566171969223
"Sex",3,162.458724157615,9.2740294692355,0.00968657149457216,0.00343382803077662,-77.7678236172692,1
