"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"8","Hg + Sex + Age",6,64.8112137564517,0,1,0.827403567474538,-26.0339254622966,0.827403567474538
"6","Hg + Sex",5,68.0399146807706,3.22870092431894,0.199019899422412,0.164669774780528,-28.7567994456485,0.992073342255066
"7","Sex + Age",5,75.1767184998247,10.3655047433731,0.00561253734697455,0.00464383342347083,-32.3252013551755,0.996717175678537
"2","Hg",4,76.9974323823584,12.1862186259068,0.00225837598898056,0.00186858834998135,-34.324803147701,0.998585764028518
"5","Hg + Age",5,77.8352088842247,13.023995127773,0.00148550935745406,0.0012291157418743,-33.6544465473755,0.999814879770392
"4","Sex",4,82.8925120970498,18.0812983405982,0.000118493888767754,9.80422662903707e-05,-37.2723430050467,0.999912922036683
"3","Age",4,83.4510148996651,18.6398011432134,8.96228210130996e-05,7.41542418333706e-05,-37.5515944063543,0.999987076278516
"1","Null",3,86.9451804509321,22.1339666944804,1.56196105406572e-05,1.29237214839027e-05,-40.369141949604,1
