"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"Breeding Location",4,652.957037023502,0,1,0.572651076108956,-322.208248241481,0.572651076108956
"Breeding Location + Hg + Sex",6,654.757301121204,1.80026409770278,0.406515976228521,0.232791811242746,-320.795317227269,0.805442887351702
"Breeding Location + Hg",5,655.160863660557,2.20382663705584,0.332234804183031,0.190254618136261,-322.169472926169,0.995697505487962
"Hg",3,663.958039295942,11.0010022724401,0.00408472392235821,0.00233912154974643,-328.819019647971,0.998036627037709
"Null",2,664.896740904479,11.9397038809773,0.00255461962672733,0.00146290567829446,-330.369423083818,0.999499532716003
"Sex",3,667.04201629954,14.0849792760386,0.000873948037253746,0.000500467283996668,-330.36100814977,1
